jarak
2
3038
20
21
21
21
21
23
24
24
23
25
23
24
25
23
25
24
25
24
163
23
25
24
25
26
23
25
25
26
3023
22
3038
20
21
21
21
2130
28
28
28
27
27
95
21
21
21
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
21
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
21
21
21
21
21
20
20
21
21
21
22
22
23
23
23
24
24
24
25
27
28
29
59
59
59
61
22
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
22
21
21
22
22
22
22
22
22
22
22
23
23
22
22
22
22
22
22
22
22
22
22
22
22
22
22
22
22
23
3029
20
21
22
22
22
21
21
21
21
21
21
22
22
22
21
21
21
21
21
21
22
22
22
23
21
22
23
23
22
23
23
22
22
22
22
22
22
22
22
22
22
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
20
20
20
20
21
21
20
20
21
21
21
21
21
21
22
22
23
111
88
100
25
25
25
24
24
24
24
25
24
23
23
21
20
21
20
22
23
24
26
20
20
21
110
138
19
20
19
19
19
20
20
20
21
21
22
21
21
21
21
20
20
21
22
22
23
24
24
20
19
18
19
18
18
9
19
7
8
20
21
22
158
111
2977
17
18
17
17
17
17
17
17
17
17
17
17
18
17
17
18
18
18
18
18
18
19
18
18
19
18
19
20
20
19
19
19
18
18
18
18
18
19
19
27
25
25
28
37
24
24
25
68
61
62
22
20
19
19
19
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
18
19
18
18
19
19
19
19
18
18
18
18
18
18
19
18
19
19
19
19
19
19
19
20
21
20
20
21
21
22
23
24
26
26
28
125
3010
45
99
2990
114
115
110
111
111
112
115
3030
23
107
3002
90
99
97
100
3036
